invoice_id,invoice_number,invoice_date,issuer_name,recipient_name,line_items_count,accounting_summary_count,vat_rows_count,total_net,total_vat,total_gross,currency,created_at,updated_at,issuer_siren,issuer_ape,issuer_ape_source,recipient_siren,recipient_ape,recipient_ape_source
fr_bd_519665103:1f65b9e7-237b-4386-843a-661c6a3aea44,FV2401-06462,16/01/2024,AVIGROS,MOUAD,5,1,1,242.87,13.36,256.23,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:6df1bb6b-3ca3-4c51-ba37-0198f15e6639,1831690,16/01/2024,BBV,MOUAD,1,1,1,158.4,8.72,167.12,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:eaeb5df8-dc33-4f1f-b7c3-40dba939c808,327619,16/01/2024,POMMIER TREPIN COUSIN,INCONNU,2,2,2,44.63,2.46,47.09,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:ec7309fd-7371-42ed-91c2-332d1433df1a,1831691,16/01/2024,BBV,MOUAD,2,1,1,355.5,19.55,375.05,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:1a722351-4c3c-4c70-a03b-1e8ac506ab58,1832014,17/01/2024,BBV,MOUAD,1,1,1,713.25,39.23,752.48,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:269a552b-908f-4d7c-9c1a-d7d0c78a5803,CLI-010590,17/01/2024,CONACE,MOUAD,1,1,1,4834.29,241.71,5076.0,EUR,,,,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:30829e03-e6f5-43c6-88cd-d6f18ae55acf,FV2401-07136,17/01/2024,AVIGROS,MOUAD,9,1,1,937.04,51.54,988.58,EUR,,,447915430,4632C,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:632a6b9e-585f-48cd-b57f-d4a8347c0385,1832013,17/01/2024,BBV,MOUAD,5,3,1,316.28,17.31,333.59,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:746df02b-ffba-4e11-a5ce-bad017e9f4f7,CLI-010590,17/01/2024,CONACE,MOUAD,1,1,1,4834.29,241.71,5076.0,EUR,,,,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:7930e8fd-9963-4412-a852-5fcff5f88e77,327738,17/01/2024,POMMIER TREPIN COUSIN,INCONNU,2,1,1,90.88,5.0,95.88,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:09bae426-4e5f-4337-b49f-7900b1a2e1b0,1832366,18/01/2024,BBV,MOUAD,1,2,1,356.38,19.87,377.58,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:0e1fbe48-b371-45c4-b0ed-08a6caa6cd0a,1832366,18/01/2024,BBV,MOUAD,1,1,1,356.38,19.87,377.58,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:61a32d92-e70f-4245-bfcb-87e8e3d43f59,1832283,18/01/2024,BBV,MOUAD,2,2,1,445.04,24.52,472.37,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:63507f2d-09cb-4308-af83-8f898b24c1b6,1832282,18/01/2024,BBV,MOUAD,3,1,1,509.6,28.03,537.63,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:869deebb-5065-4b35-954f-ebda4b0afe51,FV2401-07889,18/01/2024,AVIGROS,MOUAD,16,1,1,868.87,47.79,916.66,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:f3e6ba88-4c7a-49e4-8f44-8d37c9e6e9f9,327878,18/01/2024,POMMIER TREPIN COUSIN,INCONNU,7,2,2,960.4,53.32,1017.5,EUR,,,562048314,4632A,invoice_form,,,
fr_bd_519665103:f7782335-453f-42ae-8626-e75708e6d0b0,1832366,18/01/2024,BBV,MOUAD,1,4,1,356.38,19.87,377.58,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:1b2e425d-6830-4cce-b012-5b8e7d373508,328017,19/01/2024,POMMIER TREPIN COUSIN,INCONNU,8,1,3,206.78,11.53,219.16,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:3149ef2e-1957-406b-9ac7-eb41d8a596bb,1832816,19/01/2024,BBV,MOUAD,1,2,1,138.12,7.74,146.57,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:53b9196d-82d6-4859-adcf-d64920184696,1832815,19/01/2024,BBV,MOUAD,1,1,1,162.0,8.91,170.91,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:5f1d66cf-10ed-4db4-90bf-7def8d7e3553,328074,19/01/2024,POMMIER TREPIN COUSIN,INCONNU,1,2,3,320.0,17.68,337.68,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:a0d1bf6e-c034-46e0-82d2-e4b235643095,1832817,19/01/2024,BBV,MOUAD,1,1,1,341.11,18.8,359.91,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:fa9abfa2-79b9-4748-83fa-4e2391697b31,FV2401-08380,19/01/2024,AVIGROS,MOUAD,12,1,2,930.44,52.88,983.32,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:15480902-419a-4719-b7ed-d85359cf2c89,1833169,22/01/2024,BBV,MOUAD,1,2,1,266.7,14.69,283.24,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:70f184b9-7743-4285-9751-5ab6441d80c2,1833167,22/01/2024,BBV,MOUAD,1,1,1,738.56,40.69,779.25,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:a2cc9a87-838e-4987-8b84-bace0f1a7959,1833168,22/01/2024,BBV,BIE MOJAD,1,2,1,1255.79,69.07,1324.86,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:d97981c6-24b4-4cee-b25e-1b0e35b3a3cd,1833170,22/01/2024,BBV,MOUAD,1,2,1,252.75,13.93,268.48,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:eae70d78-da3f-4e97-ad5a-309d26b608a1,328160,22/01/2024,POMMIER TREPIN COUSIN,MOUAD,6,2,2,167.46,9.32,177.35,EUR,,,562048314,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:0c0dbf6e-7302-44aa-9912-531e0b32bbd4,FV2401-09638,23/01/2024,AVIGROS,MOUAD,3,1,1,308.66,16.98,325.64,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:a58072a2-70a1-4745-a29d-8fa569bccf5d,1833492,23/01/2024,BBV,MOUAD,1,3,1,339.46,18.99,360.04,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:15aa6324-f5b0-4e7e-a980-e248b70a8949,328466,24/01/2024,POMMIER TREPIN COUSIN,INCONNU,6,2,2,149.69,8.33,158.52,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:427ea953-d4aa-412c-973e-09b3c813fd2b,1833787,24/01/2024,BBV,MOUAD,3,1,1,1028.0,56.76,1084.76,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:50eb8fd5-bf48-4d97-ac2f-8d04e14c0323,1833786,24/01/2024,BBV,BOUCHERIE MOUAD,2,1,1,959.4,52.77,1012.17,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:dc4d6bfe-8bf7-49b1-a4a4-11a7dad720fc,FV2401-10300,24/01/2024,AVIGROS,MOUAD,10,1,2,499.43,28.08,527.51,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:56cf3975-eb25-4d2f-8cc9-0d57d7b39f62,1834145,25/01/2024,BBV,MOUAD,2,1,1,506.0,27.83,533.83,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:7179acdc-4d53-4a12-8259-7633bf6a802b,1834146,25/01/2024,BBV,MOUAD,2,1,1,1369.88,75.44,1445.32,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:89c1b788-33c0-4919-986f-9b1b3cce314c,328604,25/01/2024,POMMIER TREPIN COUSIN,INCONNU,3,1,2,98.6,5.51,104.58,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:a2f21050-b14a-42ec-ac85-b9d7b7b9e151,FV2401-10831,25/01/2024,AVIGROS,MOUAD,8,1,1,540.93,29.76,570.69,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:4c9f85fe-ef75-43a3-9f1f-ace2d4246537,1834596,26/01/2024,BBV,MOUAD,1,1,1,124.8,6.88,131.68,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:6ba5da79-390e-429d-97f8-9eb21ba14f94,FV2401-11794,26/01/2024,AVIGROS,MOUAD,15,1,2,1477.49,83.06,1560.55,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:e574283e-89ab-45d3-ab01-5b56d3d3ab68,328752,26/01/2024,POMMIER TREPIN COUSIN,INCONNU,7,2,2,202.31,11.27,214.31,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:2086e646-62b8-4c11-a00c-d9711005adfe,FV2401-12491,29/01/2024,AVIGROS,MOUAD,5,1,1,196.0,10.78,206.78,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
