source_file,output_file,action,bucket,article_source_before,article_source_after,account_before,account_after,details,target_file
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Commission sur vente LP DIM,Commission sur vente LP DIM,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Commission Deliveroo,Commission Deliveroo,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Débit : frais supplémentaires,Débit : frais supplémentaires,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Prestation émetteur Bimpli - 2nd génération,Prestation émetteur Bimpli - 2nd génération,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de transaction Bimpli (1ère génération),Frais de transaction Bimpli (1ère génération),6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Prestation émetteur Bimpli (1ère génération),Prestation émetteur Bimpli (1ère génération),6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de transaction Bimpli - 2nd génération,Frais de transaction Bimpli - 2nd génération,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Indemnité forfaitaire frais de recouvrement,Indemnité forfaitaire frais de recouvrement,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Paiements supplémentaires,Paiements supplémentaires,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Forfait Client B&You 260Go 5G,Forfait Client B&You 260Go 5G,6226,6226,"['forfait', 'client', 'b', 'you', '260go', '5g'] -> ['forfait', 'client', 'you', '260go', '5g']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Forfait Client B&You 260Go 5G,Forfait Client B&You 260Go 5G,6226,6226,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de livraison,Frais de livraison,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Prestation émetteur - 2nd génération,Prestation émetteur - 2nd génération,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Contribution tarifaire d'acheminement (CTA),Contribution tarifaire d'acheminement (CTA),6061,6061,"['contribution', 'tarifaire', 'd', 'acheminement', 'cta'] -> ['contribution', 'tarifaire', 'acheminement', 'cta']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Contribution tarifaire d'acheminement (CTA),Contribution tarifaire d'acheminement (CTA),6061,6061,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais de gestion,Frais de gestion,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Frais hebdomadaire de gestion,Frais hebdomadaire de gestion,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Fourniture d'électricité,Fourniture d'électricité,6061,6061,"['fourniture', 'd', 'electricite'] -> ['fourniture', 'electricite']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Fourniture d'électricité,Fourniture d'électricité,6061,6061,classification_version,
