item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0142,2,pois angole entier x 400g pp1,POIS ANGOLE entier x 400g PP1 MADOUDOU CARAIBES,6011,5.5,511N,,,,,,,
mrn_0143,2,semoule jaune moyen 5kg leg,SEMOULE JAUNE MOYEN 5KG (LEG),601,5.5,4639B,,,,,,,
mrn_0144,2,semoule jaune fine 5kg leg,SEMOULE JAUNE FINE 5KG (LEG),601,5.5,4639B,,,,,,,
mrn_0145,2,vivaneau blanc colas file rose e,"VIVANEAU BLANC / COLAS FILE ""rose"" E/V 5-10kg vrac, DLUO 30/04/25, Zone de péche OCEAN INDIEN FAO 51",6013,5.5,4639A,,,,,,,
mrn_0146,2,consommation d electricite ht,Consommation d'électricité (HT) - Période du 22/12/23 au 31/01/24,6061,20.0,7010Z,,,,,,,
mrn_0147,2,gombo 5kg agrolulo honduras,GOMBO 5KG AGROLULO HONDURAS,6011,5.5,4631Z,,,,,,,
mrn_0148,2,patate douce blanche 10kg honduras,PATATE DOUCE BLANCHE 10KG HONDURAS,6011,5.5,4631Z,,,,,,,
mrn_0149,2,avocat,AVOCAT,601,5.5,4941B,,,,,,,
mrn_0150,2,electricite,Electricité,606100,19.5,7010Z,,,,,,,
mrn_0151,2,courbine 10kg prodi senegal,COURBINE 80/1200 10KG PRODI SENEGAL,6011,5.5,4631Z,,,,,,,
mrn_0152,2,tilapia moyen 2kg ws chine,TILAPIA MOYEN 600/800 3.2KG (WS) CHINE,6011,5.5,4631Z,,,,,,,
mrn_0153,2,concombre pays bas,CONCOMBRE PAYS-BAS,6011,5.5,4631Z,,,,,,,
mrn_0154,2,abonnement d electricite classique,Abonnement d'électricité - Offre classique du 22/06/2023 au 21/08/2023,606300,20.0,7010Z,,,,,,,
mrn_0155,2,tropic island,TROPIC ISLAND 3,6068,20.0,4638B,,,,,,,
mrn_0156,2,tilapia moyen 2kg prodi chine,TILAPIA MOYEN 3.2KG PRODI CHINE,6011,5.5,4631Z,,,,,,,
mrn_0157,2,poivron rouge 5kg hollande,POIVRON ROUGE 5KG HOLLANDE,6011,5.5,4631Z,,,,,,,
mrn_0158,2,manioc tucano costa rica,MANIOC TUCANO COSTA RICA,6061,5.5,4631Z,,,,,,,
mrn_0159,2,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,6061,5.5,4631Z,,,,,,,
mrn_0160,2,eddoes costa rica,EDDOES COSTA RICA,6061,5.5,4631Z,,,,,,,
mrn_0161,2,piment antillais 4kg italie,PIMENT ANTILLAIS 4KG ITALIE,6061,5.5,4631Z,,,,,,,
mrn_0162,2,avocat 4kg bresil,AVOCAT 4KG BRESIL,6061,5.5,4631Z,,,,,,,
mrn_0163,2,oignon jaune 5kg hollande,OIGNON JAUNE 5KG HOLLANDE,6061,5.5,4631Z,,,,,,,
mrn_0164,2,pomme de terre 5kg pdt france,POMME DE TERRE 5KG PDT FRANCE,6061,5.5,4631Z,,,,,,,
mrn_0165,2,poivron rouge 5kg pologne,POIVRON ROUGE 5KG POLOGNE,6061,5.5,4631Z,,,,,,,
mrn_0166,2,banane verte del monte guatemala,BANANE VERTE DEL MONTE GUATEMALA,6061,5.5,4631Z,,,,,,,
mrn_0167,2,piment antillais 5kg france,PIMENT ANTILLAIS 5KG FRANCE,6061,5.5,4631Z,,,,,,,
mrn_0168,2,huile de tournesol bing oil 3x5l,HUILE DE TOURNESOL BING OIL 3X5L UKRAINE,60110000,5.5,4631Z,,,,,,,
mrn_0169,2,concentre tomate petit rolli 12x440gr france,CONCENTRE TOMATE PETIT ROLLI 12X440GR FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0170,2,banane verte del monte equateur,BANANE VERTE DEL MONTE EQUATEUR,6011,5.5,4631Z,,,,,,,
mrn_0171,2,kandratiki mo vrac 8kg,KANDRATIKI (MO) VRAC 600/900 8KG,601,5.5,4639B,,,,,,,
mrn_0172,2,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,60120000,5.5,4631Z,,,,,,,
mrn_0173,2,tilapia moyen 800g 2kg mh chine,TILAPIA MOYEN 600/800G 3.2KG (MH)CHINE,6011,5.5,4631Z,,,,,,,
mrn_0174,2,carotte 10kg france,CAROTTE 10KG FRANCE,6011,5.5,4631Z,,,,,,,
