file,metier,article,action,old_account,new_account,reason
base_produits_restaurant_clean_v2.json,restaurant,FANTA EXOTIQUE EU 33CL X 24,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BROWNIES 770G TARTEFRAIS,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CHOU BLANC 6 PC CAT1 FR FRANCE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA ZERO 33CLX24 EU,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FANTA CITRON EUR 33CL*24,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,"MOZZARELLA CANTADORA 2,5KG",clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPES AGRUME 24*33 CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPES POMME SLIM 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TENDERS HOT AND SPICY 1KG KFC HALAL,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BUCHETTE CHEVRE 100% 180 GR,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 BTE SALADE KRAFT 75OML,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CAISSE COCA 24X33CL VIDE,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GRANINI POMME 25CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PETITS POIS DIYX FINS SURGELES 2.5 KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,THYM DE PROVENCE IGP 250G,clean_or_account_fix,6062,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,"BURGER SLICE FONDU DAIRYMAID 1,082 KG",clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,GRANINI ORANGE 25CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO BOBINE 2P 45OF X6,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PETIT POIS DX X.FINS 2.5KG MC,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,SCHWEPPES AGRUM 24X25CL VIDE,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 POT A SOUPE KRAFT 36CL,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 POT ROND CRIST 25CL,clean_or_account_fix,6063,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CHEDDAR FONDU 84 TR 1.033KG MC,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CUISSE PLT HAL A/D 10KG FR,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,LAMELLE DE KEBAB POULET ADEN 800G,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,NAVET ROND MOYEN 5KG FR FRANCE,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OEUFS BOITE X6 LR,clean_or_account_fix,6011,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,Orangina 33cl x 24,clean_or_account_fix,6068,601,keywords/account normalized
