article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
Abonnement Gaz naturel,abonnement gaz naturel,7,7,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_952061570
Abonnement SFR ADSL Power,abonnement sfr adsl power,7,7,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_903252617
BATONNETS FUME 1KG REF956,batonnets fume 1kg ref956,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
BEURRE GD TOURAGE FLECHARD CT 5X2KG,beurre gd tourage flechard ct 5x2kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
BEURRE TARTINABLE DOUX 1KG,beurre tartinable doux 1kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
BLANC OEUF LIQUIDE FERME DU PRE 1KG,blanc oeuf liquide ferme du pre 1kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
CLEMENTINE FEUILLE,clementine feuille,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_888020088 | fr_bd_890233000
Charges Communes,charges communes,7,7,6132,loyers_et_charges_locatives,charges_locatives,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_931589238
Consommation Gaz naturel TQ1,consommation gaz naturel tq1,7,7,6061,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_952061570
Contribution pour la Mobilité Electrique,contribution pour la mobilite electrique,7,7,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_823981568 | fr_bd_888020088 | fr_bd_952061570
DECODECOR N°21 BIOSTATIQ 25KG,decodecor n 21 biostatiq 25kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
FRAIS LIVRAISON,frais livraison,7,7,706100,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_839181104
FRAISE PLT 1KG ESP C1 ESPAGNE,fraise plt 1kg esp c1 espagne,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595 | fr_bd_903252617
Frais d'adhésion,frais d adhesion,7,7,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Frais de service Uber Eats,frais de service uber eats,7,7,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
GROSEILLE RGE 125G PAYS-BAS C1 PAYS BAS,groseille rge 125g pays bas c1 pays bas,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
KREM D'AROME CACAO SEAU BARRY 5KG,krem d arome cacao seau barry 5kg,7,7,60610000,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_880517875
LEVURE LEVAMAX ECOPACK (30x500G) 15 KG,levure levamax ecopack 30x500g 15 kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
LIQUIDE LAVE VAISS EAU DURE ASSAINY 11KG,liquide lave vaiss eau dure assainy 11kg,7,7,6063,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_890233000
LP VAL DE MARNE,lp val de marne,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Livraison (H.T.),livraison h t,7,7,622600,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_832065999
Livraison Native Paris,livraison native paris,7,7,624,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_828612630 | fr_bd_837602275
Loyer garage,loyer garage,7,7,6132,loyers_et_charges_locatives,loyer,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_519665103 | fr_bd_837602275
MAYONNAISE ALLEGEE GYMA 4.7KG,mayonnaise allegee gyma 4 7kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
MINI GOUTTE BLANCHE 10KG,mini goutte blanche 10kg,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
MYRTILLE BQ 125G PEROU C1 PEROU,myrtille bq 125g perou c1 perou,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
"NECTAR MULTI BIO,PRESSADE,1.5L",nectar multi bio pressade 1 5l,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
NOIX INVALIDES 1KG ARLEQUIN,noix invalides 1kg arlequin,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
OEUF BLANC LIQ.1KG SERVIS OEUF-OR.FRANCE,oeuf blanc liq 1kg servis oeuf or france,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
OEUF BLANC LIQUIDE 1L SERVIS OEUF,oeuf blanc liquide 1l servis oeuf,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Offres & Ajustements,offres ajustements,7,7,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_888020088
PERRIER 33X24 EAU GAZEUSE,perrier 33x24 eau gazeuse,7,7,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_891370595 | fr_bd_929728467
PILON,pilon,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
Pack sécurité Norton,pack securite norton,7,7,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_831060876 | fr_bd_842785719
Prestation émetteur Bimpli - 1ére génération (frais sur transaction déja réglé),prestation emetteur bimpli 1ere generation frais sur transaction deja regle,7,7,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875
"RUMSTEACK - CARCASSE BEUF - N° dossier : 2410600091 N° tracabilité : 0000004 - Label : Né en : BELGIQUE ; Elevé en : BELGIQUE ; Code abattoir : 59 ; Abattu en : BELGIQUE : Atelier découpe : 94-065-243 : Découpé en : FRANCE ; Catégorie : VACHE ; Type : VIANDE ; Race : BLANC BLEU BELGE ; Date d'abattage : Assujetti aux taxes : AGIOS, GARDE, IBGUF, RSD",rumsteack carcasse beuf n dossier 2410600091 n tracabilite 0000004 label ne en belgique eleve en belgique code abattoir 59 abattu en belgique atelier decoupe 94 065 243 decoupe en france categorie vache type viande race blanc bleu belge date d abattage assujetti aux taxes agios garde ibguf rsd,7,7,6011,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
SAN PELL BOITE SLIM 33CL,san pell boite slim 33cl,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
SPECULOS BRISURE MOULU 750 gr 64695,speculos brisure moulu 750 gr 64695,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Special Offer - Réduction sur la position 1 - Valide de 02/01/2024 a 02/01/2025,special offer reduction sur la position 1 valide de 02 01 2024 a 02 01 2025,7,7,6132,loyers_et_charges_locatives,charges_locatives,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_832065999
Spotify Premium (1 mois),spotify premium 1 mois,7,7,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
Taxe Intérieure sur la Consommation de Gaz Naturel (TICGN),taxe interieure sur la consommation de gaz naturel ticgn,7,7,6351,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_828612630
Taxe Intérieure sur les Consommations de Gaz Naturel (TICGN),taxe interieure sur les consommations de gaz naturel ticgn,7,7,6061,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_952061570
Taxes et contributions - Contribution Tarifaire d'Acheminement (CTA),taxes et contributions contribution tarifaire d acheminement cta,7,7,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_929728467
